name,slug,price,currency,description,ingredients,volumeMl,weightGrams,allergens,category,categoryKey,image,isAvailable,stockQuantity
Ореховый Раф,orehovyj-raf,340,ILS,"Сливочный кофейный напиток на основе эспрессо с нежной, бархатистой текстурой.",эспрессо • молоко • ореховый сироп,300 / 400,,молоко • орехи,Кофе,coffee,/images/products/coffee/orehovyj-raf.jpg,True,45
Аффогато,affogato,330,ILS,Горячий эспрессо с шариком сливочного мороженого — кофе и десерт в одной чашке.,эспрессо • сливочное мороженое,120,,молоко,Кофе,coffee,/images/products/coffee/affogato.jpg,True,35
Кофе по-венски,kofe-po-venski,300,ILS,Кофе по-венски — авторская кофейная классика Brew & Bloom с мягким и сбалансированным вкусом.,эспрессо • молоко,300 / 400,,молоко,Кофе,coffee,/images/products/coffee/kofe-po-venski.jpg,True,10
Ледяной Брю,ledanoj-bru,280,ILS,"Холодное заваривание с чистым кофейным вкусом, мягкой кислотностью и льдом.",кофе холодного заваривания • вода • лёд,300 / 400,,,Кофе,coffee,/images/products/coffee/ledanoj-bru.jpg,True,9
Цитрусовый Бамбл,citrusovyj-bambl,320,ILS,"Яркое сочетание эспрессо и цитруса со льдом — свежо, бодро и необычно.",эспрессо • апельсиновый сок • лёд,300 / 400,,,Кофе,coffee,/images/products/coffee/citrusovyj-bambl.jpg,True,13
Кокосовый Латте,kokosovyj-latte,300,ILS,Кокосовый Латте — мягкий молочный кофе с выразительным ароматом и нежной кремовой текстурой.,эспрессо • молоко • кокосовый сироп,300 / 400,,молоко,Кофе,coffee,/images/products/coffee/kokosovyj-latte.jpg,True,21
Пряный Латте,pranyj-latte,300,ILS,Пряный Латте — мягкий молочный кофе с выразительным ароматом и нежной кремовой текстурой.,эспрессо • молоко • корица и специи,300 / 400,,молоко,Кофе,coffee,/images/products/coffee/pranyj-latte.jpg,True,22
Медовый Латте,medovyj-latte,310,ILS,Медовый Латте — мягкий молочный кофе с выразительным ароматом и нежной кремовой текстурой.,эспрессо • молоко • мёд,300 / 400,,молоко,Кофе,coffee,/images/products/coffee/medovyj-latte.jpg,True,40
Соленая Карамель Латте,solenaa-karamel-latte,320,ILS,Соленая Карамель Латте — мягкий молочный кофе с выразительным ароматом и нежной кремовой текстурой.,эспрессо • молоко • карамельный соус,300 / 400,,молоко,Кофе,coffee,/images/products/coffee/solenaa-karamel-latte.jpg,True,46
Фисташковый Латте,fistaskovyj-latte,340,ILS,Фисташковый Латте — мягкий молочный кофе с выразительным ароматом и нежной кремовой текстурой.,эспрессо • молоко • фисташковый соус,300 / 400,,молоко • орехи,Кофе,coffee,/images/products/coffee/fistaskovyj-latte.jpg,True,9
Матча Латте,matca-latte,340,ILS,Матча Латте — нежный напиток на основе японской матчи с мягкой кремовой текстурой.,матча • молоко,300 / 400,,молоко,Авторские напитки,signature,/images/products/signature/matca-latte.jpg,True,43
Клубничная Матча,klubnicnaa-matca,360,ILS,Клубничная Матча — нежный напиток на основе японской матчи с мягкой кремовой текстурой.,матча • молоко • клубничное пюре,300 / 400,,молоко,Авторские напитки,signature,/images/products/signature/klubnicnaa-matca.jpg,True,20
Лавандовый Латте,lavandovyj-latte,340,ILS,Лавандовый Латте — фирменный напиток Brew & Bloom с необычным сочетанием вкусов и мягким послевкусием.,эспрессо • молоко • авторский сироп,300 / 400,,молоко,Авторские напитки,signature,/images/products/signature/lavandovyj-latte.jpg,True,49
Карамельный Бамбл,karamel-nyj-bambl,360,ILS,Карамельный Бамбл — фирменный напиток Brew & Bloom с необычным сочетанием вкусов и мягким послевкусием.,эспрессо • молоко • авторский сироп,300 / 400,,,Авторские напитки,signature,/images/products/signature/karamel-nyj-bambl.jpg,True,42
Цитрусовый Раф,citrusovyj-raf,340,ILS,Цитрусовый Раф — фирменный напиток Brew & Bloom с необычным сочетанием вкусов и мягким послевкусием.,эспрессо • молоко • авторский сироп,300 / 400,,молоко,Авторские напитки,signature,/images/products/signature/citrusovyj-raf.jpg,True,34
Манговый Латте,mangovyj-latte,340,ILS,Манговый Латте — фирменный напиток Brew & Bloom с необычным сочетанием вкусов и мягким послевкусием.,эспрессо • молоко • авторский сироп,300 / 400,,молоко,Авторские напитки,signature,/images/products/signature/mangovyj-latte.jpg,True,22
Ягодный Латте,agodnyj-latte,360,ILS,Ягодный Латте — фирменный напиток Brew & Bloom с необычным сочетанием вкусов и мягким послевкусием.,эспрессо • молоко • авторский сироп,300 / 400,,молоко,Авторские напитки,signature,/images/products/signature/agodnyj-latte.jpg,True,36
Малиновый Айс Ти,malinovyj-ajs-ti,320,ILS,Малиновый Айс Ти — прохладный чайный напиток с фруктовыми нотами и освежающим послевкусием.,чай • фруктовое пюре • лёд,300 / 400,,,Авторские напитки,signature,/images/products/signature/malinovyj-ajs-ti.jpg,True,45
Персиковый Айс Ти,persikovyj-ajs-ti,320,ILS,Персиковый Айс Ти — прохладный чайный напиток с фруктовыми нотами и освежающим послевкусием.,чай • фруктовое пюре • лёд,300 / 400,,,Авторские напитки,signature,/images/products/signature/persikovyj-ajs-ti.jpg,True,25
Лимонад Классический,limonad-klassiceskij,290,ILS,Лимонад Классический — освежающий домашний лимонад с ярким фруктовым вкусом и льдом.,фрукты или ягоды • лимон • содовая • лёд,300 / 400,,,Авторские напитки,signature,/images/products/signature/limonad-klassiceskij.jpg,True,8
Лимонад Клубничный,limonad-klubnicnyj,310,ILS,Лимонад Клубничный — освежающий домашний лимонад с ярким фруктовым вкусом и льдом.,фрукты или ягоды • лимон • содовая • лёд,300 / 400,,,Авторские напитки,signature,/images/products/signature/limonad-klubnicnyj.jpg,True,18
Лимонад Малиновый,limonad-malinovyj,310,ILS,Лимонад Малиновый — освежающий домашний лимонад с ярким фруктовым вкусом и льдом.,фрукты или ягоды • лимон • содовая • лёд,300 / 400,,,Авторские напитки,signature,/images/products/signature/limonad-malinovyj.jpg,True,35
Огуречный Лимонад,ogurecnyj-limonad,300,ILS,Огуречный Лимонад — освежающий домашний лимонад с ярким фруктовым вкусом и льдом.,фрукты или ягоды • лимон • содовая • лёд,300 / 400,,,Авторские напитки,signature,/images/products/signature/ogurecnyj-limonad.jpg,True,29
Лимонад Маракуйя,limonad-marakuja,340,ILS,Лимонад Маракуйя — освежающий домашний лимонад с ярким фруктовым вкусом и льдом.,фрукты или ягоды • лимон • содовая • лёд,300 / 400,,,Авторские напитки,signature,/images/products/signature/limonad-marakuja.jpg,True,25
Чай Облепиховый,caj-oblepihovyj,320,ILS,"Чай Облепиховый — согревающий авторский чай с натуральными ягодами, травами и пряными нотами.",чай • ягоды или травы • мёд,300 / 400,,,Авторские напитки,signature,/images/products/signature/caj-oblepihovyj.jpg,True,17
Чай Имбирный,caj-imbirnyj,320,ILS,"Чай Имбирный — согревающий авторский чай с натуральными ягодами, травами и пряными нотами.",чай • ягоды или травы • мёд,300 / 400,,,Авторские напитки,signature,/images/products/signature/caj-imbirnyj.jpg,True,21
Чай Ягодный,caj-agodnyj,320,ILS,"Чай Ягодный — согревающий авторский чай с натуральными ягодами, травами и пряными нотами.",чай • ягоды или травы • мёд,300 / 400,,,Авторские напитки,signature,/images/products/signature/caj-agodnyj.jpg,True,29
Чай Мятный,caj-matnyj,300,ILS,"Чай Мятный — согревающий авторский чай с натуральными ягодами, травами и пряными нотами.",чай • ягоды или травы • мёд,300 / 400,,,Авторские напитки,signature,/images/products/signature/caj-matnyj.jpg,True,14
Горячий Шоколад,goracij-sokolad,340,ILS,Густой горячий шоколад с насыщенным какао-вкусом и нежной сливочной текстурой.,какао • молоко • шоколад,300 / 400,,молоко,Авторские напитки,signature,/images/products/signature/goracij-sokolad.jpg,True,13
Сезонный Напиток,sezonnyj-napitok,360,ILS,Сезонный Напиток — фирменный напиток Brew & Bloom с необычным сочетанием вкусов и мягким послевкусием.,эспрессо • молоко • авторский сироп,300 / 400,,молоко,Авторские напитки,signature,/images/products/signature/sezonnyj-napitok.jpg,True,32
Черный классический,cernyj-klassiceskij,180,ILS,Черный классический — свежезаваренный чай с чистым ароматом и сбалансированным вкусом.,черный классический • вода,400 / 600,,,Чай,tea,/images/products/tea/cernyj-klassiceskij.jpg,True,14
Эрл Грей,erl-grej,200,ILS,Эрл Грей — свежезаваренный чай с чистым ароматом и сбалансированным вкусом.,эрл грей • вода,400 / 600,,,Чай,tea,/images/products/tea/erl-grej.jpg,True,30
Английский завтрак,anglijskij-zavtrak,200,ILS,Английский завтрак — свежезаваренный чай с чистым ароматом и сбалансированным вкусом.,английский завтрак • вода,400 / 600,,,Чай,tea,/images/products/tea/anglijskij-zavtrak.jpg,True,30
Зеленый классический,zelenyj-klassiceskij,180,ILS,Зеленый классический — свежезаваренный чай с чистым ароматом и сбалансированным вкусом.,зеленый классический • вода,400 / 600,,,Чай,tea,/images/products/tea/zelenyj-klassiceskij.jpg,True,46
Жасминовый,jasminovyj,220,ILS,Жасминовый — свежезаваренный чай с чистым ароматом и сбалансированным вкусом.,жасминовый • вода,400 / 600,,,Чай,tea,/images/products/tea/jasminovyj.jpg,True,24
Сенча,senca,220,ILS,Сенча — свежезаваренный чай с чистым ароматом и сбалансированным вкусом.,сенча • вода,400 / 600,,,Чай,tea,/images/products/tea/senca.jpg,True,10
Генмайча,genmajca,240,ILS,Генмайча — свежезаваренный чай с чистым ароматом и сбалансированным вкусом.,генмайча • вода,400 / 600,,,Чай,tea,/images/products/tea/genmajca.jpg,True,37
Матча,matca,280,ILS,Традиционный напиток из мелко молотого зелёного чая с насыщенным травянистым вкусом.,матча • вода,400 / 600,,,Чай,tea,/images/products/tea/matca.jpg,True,42
Улун,ulun,260,ILS,Улун — свежезаваренный чай с чистым ароматом и сбалансированным вкусом.,улун • вода,400 / 600,,,Чай,tea,/images/products/tea/ulun.jpg,True,15
Молочный улун,molocnyj-ulun,280,ILS,Молочный улун — свежезаваренный чай с чистым ароматом и сбалансированным вкусом.,молочный улун • вода,400 / 600,,молоко,Чай,tea,/images/products/tea/molocnyj-ulun.jpg,True,32
Пуэр,puer,250,ILS,Пуэр — свежезаваренный чай с чистым ароматом и сбалансированным вкусом.,пуэр • вода,400 / 600,,,Чай,tea,/images/products/tea/puer.jpg,True,13
Белый чай,belyj-caj,300,ILS,Белый чай — свежезаваренный чай с чистым ароматом и сбалансированным вкусом.,белый чай • вода,400 / 600,,,Чай,tea,/images/products/tea/belyj-caj.jpg,True,43
Травяной сбор,travanoj-sbor,220,ILS,Травяной сбор — свежезаваренный чай с чистым ароматом и сбалансированным вкусом.,травяной сбор • вода,400 / 600,,,Чай,tea,/images/products/tea/travanoj-sbor.jpg,True,26
Мятный,matnyj,200,ILS,Ароматный чай с яркой мятной свежестью и лёгким успокаивающим послевкусием.,мята • чай,400 / 600,,,Чай,tea,/images/products/tea/matnyj.jpg,True,48
Имбирный,imbirnyj,220,ILS,Согревающий чай с выразительной пряностью имбиря и мягким ароматом.,чай • имбирь • лимон,400 / 600,,,Чай,tea,/images/products/tea/imbirnyj.jpg,True,47
Облепиховый,oblepihovyj,240,ILS,Облепиховый — ароматный фруктово-ягодный чай с яркой кислинкой и насыщенным вкусом.,чай • облепиха,400 / 600,,,Чай,tea,/images/products/tea/oblepihovyj.jpg,True,31
Ягодный,agodnyj,240,ILS,Ягодный — ароматный фруктово-ягодный чай с яркой кислинкой и насыщенным вкусом.,чай • ягодный микс,400 / 600,,,Чай,tea,/images/products/tea/agodnyj.jpg,True,44
Цитрусовый,citrusovyj,220,ILS,Цитрусовый — ароматный фруктово-ягодный чай с яркой кислинкой и насыщенным вкусом.,чай • цитрусы,400 / 600,,,Чай,tea,/images/products/tea/citrusovyj.jpg,True,20
Чай Масала,caj-masala,260,ILS,Чай Масала — свежезаваренный чай с чистым ароматом и сбалансированным вкусом.,чёрный чай • молоко • специи,400 / 600,,молоко,Чай,tea,/images/products/tea/caj-masala.jpg,True,12
Ройбуш,rojbus,220,ILS,Ройбуш — свежезаваренный чай с чистым ароматом и сбалансированным вкусом.,ройбуш • вода,400 / 600,,,Чай,tea,/images/products/tea/rojbus.jpg,True,10
Чизкейк Классический,cizkejk-klassiceskij,320,ILS,Чизкейк Классический — нежный сливочный чизкейк на хрустящей основе с мягкой кремовой текстурой.,сливочный сыр • сливки • яйца • сахар • песочная основа,,150,молоко • яйца • глютен,Десерты,desserts,/images/products/desserts/cizkejk-klassiceskij.jpg,True,50
Чизкейк Ягодный,cizkejk-agodnyj,340,ILS,Чизкейк Ягодный — нежный сливочный чизкейк на хрустящей основе с мягкой кремовой текстурой.,сливочный сыр • сливки • яйца • сахар • песочная основа • ягодный соус,,150,молоко • яйца • глютен,Десерты,desserts,/images/products/desserts/cizkejk-agodnyj.jpg,True,22
Тирамису,tiramisu,320,ILS,Тирамису — фирменный десерт Brew & Bloom с нежной текстурой и выразительным вкусом.,мука • яйца • сливочное масло • сахар • крем,,150,молоко • яйца • глютен,Десерты,desserts,/images/products/desserts/tiramisu.jpg,True,26
Шоколадный Брауни,sokoladnyj-brauni,290,ILS,Шоколадный Брауни — фирменный десерт Brew & Bloom с нежной текстурой и выразительным вкусом.,мука • яйца • сливочное масло • сахар • крем,,150,молоко • яйца • глютен,Десерты,desserts,/images/products/desserts/sokoladnyj-brauni.jpg,True,13
Панакота,panakota,280,ILS,Панакота — фирменный десерт Brew & Bloom с нежной текстурой и выразительным вкусом.,мука • яйца • сливочное масло • сахар • крем,,150,молоко • яйца • глютен,Десерты,desserts,/images/products/desserts/panakota.jpg,True,22
Эклер Ванильный,ekler-vanil-nyj,260,ILS,Эклер Ванильный — воздушное заварное тесто с кремовой начинкой и аккуратной глазурью.,заварное тесто • сливочный крем • глазурь,,120,молоко • яйца • глютен,Десерты,desserts,/images/products/desserts/ekler-vanil-nyj.jpg,True,14
Эклер Шоколадный,ekler-sokoladnyj,260,ILS,Эклер Шоколадный — воздушное заварное тесто с кремовой начинкой и аккуратной глазурью.,заварное тесто • сливочный крем • глазурь,,120,молоко • яйца • глютен,Десерты,desserts,/images/products/desserts/ekler-sokoladnyj.jpg,True,32
Макарон Малина,makaron-malina,180,ILS,Макарон Малина — французское миндальное пирожное с хрустящей корочкой и нежной начинкой.,миндальная мука • яичный белок • сахар • крем,,80,молоко • яйца • орехи,Десерты,desserts,/images/products/desserts/makaron-malina.jpg,True,25
Макарон Фисташка,makaron-fistaska,180,ILS,Макарон Фисташка — французское миндальное пирожное с хрустящей корочкой и нежной начинкой.,миндальная мука • яичный белок • сахар • крем,,80,молоко • яйца • орехи,Десерты,desserts,/images/products/desserts/makaron-fistaska.jpg,True,37
Макарон Шоколад,makaron-sokolad,180,ILS,Макарон Шоколад — французское миндальное пирожное с хрустящей корочкой и нежной начинкой.,миндальная мука • яичный белок • сахар • крем,,80,молоко • яйца • орехи,Десерты,desserts,/images/products/desserts/makaron-sokolad.jpg,True,48
Муссовый Десерт,mussovyj-desert,320,ILS,Муссовый Десерт — фирменный десерт Brew & Bloom с нежной текстурой и выразительным вкусом.,мука • яйца • сливочное масло • сахар • крем,,150,молоко • яйца • глютен,Десерты,desserts,/images/products/desserts/mussovyj-desert.jpg,True,31
Фисташковый Торт,fistaskovyj-tort,350,ILS,Фисташковый Торт — многослойный десерт с нежным кремом и насыщенным домашним вкусом.,мука • яйца • сливочное масло • сахар • крем,,150,молоко • яйца • орехи,Десерты,desserts,/images/products/desserts/fistaskovyj-tort.jpg,True,18
Лимонный Тарт,limonnyj-tart,300,ILS,Лимонный Тарт — хрустящая песочная основа с нежной начинкой и ярким акцентом.,мука • яйца • сливочное масло • сахар • крем,,150,молоко • яйца • глютен,Десерты,desserts,/images/products/desserts/limonnyj-tart.jpg,True,31
Красный Бархат,krasnyj-barhat,340,ILS,Красный Бархат — многослойный десерт с нежным кремом и насыщенным домашним вкусом.,мука • яйца • сливочное масло • сахар • крем,,150,молоко • яйца • глютен,Десерты,desserts,/images/products/desserts/krasnyj-barhat.jpg,True,30
Медовик,medovik,320,ILS,Медовик — многослойный десерт с нежным кремом и насыщенным домашним вкусом.,мука • яйца • сливочное масло • сахар • крем,,150,молоко • яйца • глютен,Десерты,desserts,/images/products/desserts/medovik.jpg,True,21
Наполеон,napoleon,300,ILS,Наполеон — многослойный десерт с нежным кремом и насыщенным домашним вкусом.,мука • яйца • сливочное масло • сахар • крем,,150,молоко • яйца • глютен,Десерты,desserts,/images/products/desserts/napoleon.jpg,True,50
Птичье Молоко,ptic-e-moloko,290,ILS,Птичье Молоко — фирменный десерт Brew & Bloom с нежной текстурой и выразительным вкусом.,мука • яйца • сливочное масло • сахар • крем,,150,молоко • яйца • глютен,Десерты,desserts,/images/products/desserts/ptic-e-moloko.jpg,True,25
Тарталетка с ягодами,tartaletka-s-agodami,280,ILS,Тарталетка с ягодами — хрустящая песочная основа с нежной начинкой и ярким акцентом.,мука • яйца • сливочное масло • сахар • крем,,150,молоко • яйца • глютен,Десерты,desserts,/images/products/desserts/tartaletka-s-agodami.jpg,True,49
Профитроли,profitroli,300,ILS,Профитроли — фирменный десерт Brew & Bloom с нежной текстурой и выразительным вкусом.,мука • яйца • сливочное масло • сахар • крем,,150,молоко • яйца • глютен,Десерты,desserts,/images/products/desserts/profitroli.jpg,True,12
Чиа-пудинг,cia-puding,260,ILS,Чиа-пудинг — фирменный десерт Brew & Bloom с нежной текстурой и выразительным вкусом.,семена чиа • кокосовое молоко • манго,,150,молоко • яйца • глютен,Десерты,desserts,/images/products/desserts/cia-puding.jpg,True,46
Круассан Классический,kruassan-klassiceskij,220,ILS,Круассан Классический — слоёный французский круассан с хрустящей корочкой и воздушной серединой.,пшеничная мука • сливочное масло • молоко • дрожжи • сахар,,120,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/kruassan-klassiceskij.jpg,True,48
Круассан Миндальный,kruassan-mindal-nyj,240,ILS,Круассан Миндальный — слоёный французский круассан с хрустящей корочкой и воздушной серединой.,пшеничная мука • сливочное масло • молоко • дрожжи • сахар,,120,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/kruassan-mindal-nyj.jpg,True,18
Круассан Шоколадный,kruassan-sokoladnyj,240,ILS,Круассан Шоколадный — слоёный французский круассан с хрустящей корочкой и воздушной серединой.,пшеничная мука • сливочное масло • молоко • дрожжи • сахар,,120,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/kruassan-sokoladnyj.jpg,True,42
Круассан Сырный,kruassan-syrnyj,240,ILS,Круассан Сырный — слоёный французский круассан с хрустящей корочкой и воздушной серединой.,пшеничная мука • сливочное масло • молоко • дрожжи • сахар,,120,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/kruassan-syrnyj.jpg,True,23
Круассан Фисташковый,kruassan-fistaskovyj,260,ILS,Круассан Фисташковый — слоёный французский круассан с хрустящей корочкой и воздушной серединой.,пшеничная мука • сливочное масло • молоко • дрожжи • сахар,,120,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/kruassan-fistaskovyj.jpg,True,18
Булочка с корицей,bulocka-s-koricej,220,ILS,"Булочка с корицей — мягкая свежая булочка с ароматной начинкой, выпекаемая каждый день.",пшеничная мука • сливочное масло • яйца • сахар • начинка,,120,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/bulocka-s-koricej.jpg,True,37
Булочка с ягодами,bulocka-s-agodami,240,ILS,"Булочка с ягодами — мягкая свежая булочка с ароматной начинкой, выпекаемая каждый день.",пшеничная мука • сливочное масло • яйца • сахар • начинка,,120,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/bulocka-s-agodami.jpg,True,32
Булочка с яблоком,bulocka-s-ablokom,220,ILS,"Булочка с яблоком — мягкая свежая булочка с ароматной начинкой, выпекаемая каждый день.",пшеничная мука • сливочное масло • яйца • сахар • начинка,,120,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/bulocka-s-ablokom.jpg,True,25
Булочка с маком,bulocka-s-makom,220,ILS,"Булочка с маком — мягкая свежая булочка с ароматной начинкой, выпекаемая каждый день.",пшеничная мука • сливочное масло • яйца • сахар • начинка,,120,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/bulocka-s-makom.jpg,True,48
Булочка с творогом,bulocka-s-tvorogom,240,ILS,"Булочка с творогом — мягкая свежая булочка с ароматной начинкой, выпекаемая каждый день.",пшеничная мука • сливочное масло • яйца • сахар • начинка,,120,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/bulocka-s-tvorogom.jpg,True,43
Слойка с вишней,slojka-s-visnej,240,ILS,Слойка с вишней — хрустящая слоёная выпечка с сочной начинкой.,пшеничная мука • сливочное масло • яйца • сахар • начинка,,120,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/slojka-s-visnej.jpg,True,22
Слойка с яблоком,slojka-s-ablokom,230,ILS,Слойка с яблоком — хрустящая слоёная выпечка с сочной начинкой.,пшеничная мука • сливочное масло • яйца • сахар • начинка,,120,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/slojka-s-ablokom.jpg,True,28
Слойка с сыром,slojka-s-syrom,230,ILS,Слойка с сыром — хрустящая слоёная выпечка с сочной начинкой.,пшеничная мука • сливочное масло • яйца • сахар • начинка,,120,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/slojka-s-syrom.jpg,True,11
Слойка с ветчиной и сыром,slojka-s-vetcinoj-i-syrom,260,ILS,Слойка с ветчиной и сыром — хрустящая слоёная выпечка с сочной начинкой.,пшеничная мука • сливочное масло • яйца • сахар • начинка,,120,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/slojka-s-vetcinoj-i-syrom.jpg,True,22
Слойка со шпинатом,slojka-so-spinatom,260,ILS,Слойка со шпинатом — хрустящая слоёная выпечка с сочной начинкой.,пшеничная мука • сливочное масло • яйца • сахар • начинка,,120,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/slojka-so-spinatom.jpg,True,10
Чиабатта,ciabatta,180,ILS,Чиабатта — свежая ароматная выпечка с румяной корочкой и мягким мякишем.,пшеничная мука • вода • дрожжи • соль,,300,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/ciabatta.jpg,True,28
Багет,baget,180,ILS,Багет — свежая ароматная выпечка с румяной корочкой и мягким мякишем.,пшеничная мука • вода • дрожжи • соль,,300,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/baget.jpg,True,33
Зерновой хлеб,zernovoj-hleb,200,ILS,Зерновой хлеб — свежая ароматная выпечка с румяной корочкой и мягким мякишем.,пшеничная мука • вода • дрожжи • соль,,300,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/zernovoj-hleb.jpg,True,25
Хлеб Тостовый,hleb-tostovyj,160,ILS,Хлеб Тостовый — свежая ароматная выпечка с румяной корочкой и мягким мякишем.,пшеничная мука • вода • дрожжи • соль,,300,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/hleb-tostovyj.jpg,True,12
Фокачча с розмарином,fokacca-s-rozmarinom,240,ILS,Фокачча с розмарином — свежая ароматная выпечка с румяной корочкой и мягким мякишем.,пшеничная мука • вода • дрожжи • соль,,300,глютен • молоко • яйца,Выпечка,bakery,/images/products/bakery/fokacca-s-rozmarinom.jpg,True,21
